,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12209,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem']",21000000.0,19874775.0,19874775.0,False,,1,,,,2025-06-05T19:29:00.000Z,102165.41114216777,47428217740.98479,6.9673,-1.03057126,-2.65743026,-3.5704451,7.40378544,28.58113522,15.7210686,2030514559233.0774,63.4618,2145473633985.52,,2025-06-05T19:29:00.000Z,,,,,,2025-06-05 12:31:30.749242
1,1027,Ethereum,ETH,ethereum,10330,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem']",,120722573.15484652,120722573.15484652,True,,2,,,,2025-06-05T19:30:00.000Z,2539.715673382627,19059642057.68928,7.6015,-1.44953279,-3.2580023,-3.98229363,41.99123675,56.66039674,16.12243243,306601011172.44446,9.5825,306601011172.44,,2025-06-05T19:30:00.000Z,,,,,,2025-06-05 12:31:30.749242
2,825,Tether USDt,USDT,tether,131780,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,153833369631.929,156004039777.66104,True,,3,,,,2025-06-05T19:29:00.000Z,1.0001206577122472,74477162703.15965,9.7943,-0.00096428,-0.0270585,0.01384699,0.00988599,0.07345264,0.0213351,153851930814.37607,4.8085,156022862868.2,,2025-06-05T19:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-06-05 12:31:30.749242
3,52,XRP,XRP,xrp,1623,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58759724027.0,99986084900.0,False,,4,,,,2025-06-05T19:30:00.000Z,2.133518818570023,2356357143.253299,12.1248,-1.5783887,-3.96572709,-5.61436231,-0.42900881,6.80780591,-14.3682066,125364976985.58563,3.9182,213351881857.0,,2025-06-05T19:30:00.000Z,,,,,,2025-06-05 12:31:30.749242
4,1839,BNB,BNB,bnb,2564,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140887238.88,140887238.88,False,,5,,,,2025-06-05T19:30:00.000Z,644.8388205892815,1763947898.1357875,12.8634,-1.29437224,-3.52060248,-4.4324765,7.2174138,16.19341633,7.15312657,90849560955.45955,2.8394,90849560955.46,,2025-06-05T19:30:00.000Z,,,,,,2025-06-05 12:31:30.749242
5,5426,Solana,SOL,solana,933,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,524097780.2005437,602413255.3500243,True,,6,,,,2025-06-05T19:29:00.000Z,146.24084786254332,3901119712.024655,35.2815,-2.29080833,-6.11207337,-12.30045716,0.91365565,36.00138294,-1.12167983,76644503739.40437,2.3955,88097425226.02,,2025-06-05T19:29:00.000Z,,,,,,2025-06-05 12:31:30.749242
6,3408,USDC,USDC,usd-coin,28476,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,61365035366.56208,61365035366.56208,False,,7,60901219650.231,60889361131.82377,,2025-06-05T19:29:00.000Z,0.9998052827435092,10227623264.858707,15.8861,-0.00313458,0.007186,0.00412798,-0.01981334,-0.0135494,-0.01864557,61353086535.23104,1.9175,61353086535.23,,2025-06-05T19:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-06-05 12:31:30.749242
7,74,Dogecoin,DOGE,dogecoin,1234,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149563106383.70526,149563106383.70526,True,,8,,,,2025-06-05T19:29:00.000Z,0.17478628509470504,1275787118.6419103,61.7433,-2.82509289,-8.12662652,-19.11684628,3.37579471,15.1048182,-15.26998999,26141579752.032005,0.817,26141579752.03,,2025-06-05T19:29:00.000Z,,,,,,2025-06-05 12:31:30.749242
8,1958,TRON,TRX,tron,1183,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94854795807.78987,94854812957.65843,True,,9,,,,2025-06-05T19:30:00.000Z,0.2717129231618724,534975904.2849048,13.9368,-0.66387703,-0.6885455,-1.39421277,10.68800619,16.37421962,10.54225001,25773273844.857105,0.8055,25773278504.7,,2025-06-05T19:30:00.000Z,,,,,,2025-06-05 12:31:30.749242
9,2010,Cardano,ADA,cardano,1528,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35342129025.24856,44994593606.78086,False,,10,,,,2025-06-05T19:29:00.000Z,0.6468157212246144,691577921.7604752,34.0836,-2.23695803,-4.01142131,-10.80807538,-2.54957718,9.87535691,-24.58783626,22859844675.079525,0.7145,29106707455.11,,2025-06-05T19:29:00.000Z,,,,,,2025-06-05 12:31:30.749242
